row_number,invoice_id,branch,customer_id,gender,age,customer_type,credit_score,has_creditcard,is_active_member,product_category,number_of_products,tax_amount,price,total_amount,ratings,customer_churn
6253,574-80-1489,B,15622305,Female,33,Member,746,1,1,Food and beverages,4,12.57,62.85,263.97,8.7,0
4685,710-46-4433,B,15789546,Male,28,Member,639,1,0,Food and beverages,9,34.83,77.4,731.43,4.5,0
1732,340-21-9136,A,15595537,Male,49,Member,626,1,0,Sports and travel,4,8.01,40.05,168.21,9.7,0
4743,288-38-3758,C,15685997,Female,39,Member,838,1,0,Fashion accessories,3,12.7305,84.87,267.3405,7.4,0
4522,518-17-2983,A,15656293,Male,35,Normal,786,1,0,Fashion accessories,4,9.726,48.63,204.246,7.6,0
6341,369-82-2676,B,15731865,Male,27,Normal,637,1,0,Electronic accessories,5,18.915,75.66,397.215,7.8,0
577,783-09-1637,B,15622217,Female,38,Normal,538,0,0,Sports and travel,5,16.8575,67.43,354.0075,6.3,1
5203,730-70-9830,C,15791111,Female,47,Normal,635,1,0,Home and lifestyle,6,21.033,70.11,441.693,5.2,0
6364,101-81-4070,C,15625740,Male,62,Member,627,1,1,Health and beauty,2,6.282,62.82,131.922,4.9,0
440,728-47-9078,C,15719276,Male,35,Member,741,0,0,Food and beverages,4,11.918,59.59,250.278,9.8,0
2751,824-88-3614,C,15676091,Male,42,Normal,543,1,1,Health and beauty,8,13.724,34.31,288.204,5.7,0
7488,211-30-9270,C,15651460,Male,34,Normal,424,1,1,Health and beauty,5,4.3525,17.41,91.4025,4.9,0
5273,277-35-5865,C,15715199,Male,27,Member,568,0,1,Food and beverages,9,44.5365,98.97,935.2665,6.7,0
5654,343-75-9322,B,15814690,Female,64,Member,595,1,1,Sports and travel,8,4.74,11.85,99.54,4.1,1
4000,279-62-1445,C,15654229,Male,47,Member,699,0,1,Fashion accessories,1,0.627,12.54,13.167,8.2,0
6034,573-98-8548,C,15802060,Female,30,Member,646,0,0,Fashion accessories,1,1.595,31.9,33.495,9.1,0
583,786-94-2700,A,15624677,Female,37,Member,543,0,0,Food and beverages,6,24.186,80.62,507.906,9.1,0
