row_number,invoice_id,branch,customer_id,gender,age,customer_type,credit_score,has_creditcard,is_active_member,product_category,number_of_products,tax_amount,price,total_amount,ratings,customer_churn
1,655-07-2265,A,15681196,Male,35,Normal,629,1,1,Electronic accessories,3,11.7465,78.31,246.6765,5.4,0
2,689-05-1884,A,15809006,Male,23,Member,602,0,0,Health and beauty,10,24.315,48.63,510.615,8.8,0
3,883-17-4236,C,15749947,Female,44,Normal,665,1,1,Sports and travel,2,1.439,14.39,30.219,7.2,0
4,453-33-6436,A,15655590,Male,46,Normal,581,0,0,Home and lifestyle,8,37.248,93.12,782.208,6.8,0
5,250-17-5703,A,15624975,Male,28,Member,693,0,1,Food and beverages,10,9.425,18.85,197.925,5.6,0
6,583-41-4548,C,15776780,Male,59,Normal,608,1,0,Home and lifestyle,7,5.8345,16.67,122.5245,7.4,1
7,714-02-3114,C,15763218,Female,41,Normal,661,0,1,Sports and travel,2,9.88,98.8,207.48,7.7,0
8,826-58-8051,B,15620204,Female,57,Normal,543,1,1,Home and lifestyle,4,12.438,62.19,261.198,4.3,1
9,166-19-2553,A,15707189,Female,36,Member,667,1,1,Sports and travel,6,26.718,89.06,561.078,9.9,0
10,123-19-1176,A,15579892,Male,19,Member,708,1,1,Health and beauty,8,23.288,58.22,489.048,8.4,0
11,186-79-9562,B,15612771,Male,35,Normal,452,1,1,Health and beauty,7,25.1195,71.77,527.5095,8.9,0
12,783-09-1637,B,15607230,Male,33,Normal,588,1,1,Sports and travel,5,16.8575,67.43,354.0075,6.3,0
13,387-49-4215,B,15635177,Female,66,Member,597,1,1,Sports and travel,3,7.275,48.5,152.775,6.7,0
14,583-72-1480,C,15725767,Male,23,Member,701,1,0,Electronic accessories,4,7.412,37.06,155.652,9.7,0
15,458-10-8612,C,15616088,Female,70,Normal,782,0,1,Health and beauty,7,22.428,64.08,470.988,7.6,0
16,174-36-3675,C,15700353,Female,37,Member,662,1,0,Food and beverages,2,9.937,99.37,208.677,5.2,0
17,109-86-4363,B,15761149,Female,44,Member,673,0,1,Sports and travel,7,21.028,60.08,441.588,4.5,0
18,210-57-1719,B,15636407,Female,34,Normal,793,1,0,Health and beauty,9,26.208,58.24,550.368,9.7,0
19,851-98-3555,B,15661433,Male,34,Normal,519,1,0,Health and beauty,5,20.72,82.88,435.12,6.6,0
20,479-26-8945,B,15801630,Male,40,Member,558,1,0,Sports and travel,2,1.649,16.49,34.629,4.6,0
21,381-20-0914,A,15729832,Male,29,Member,658,1,0,Fashion accessories,9,9.0045,20.01,189.0945,5.7,0
22,209-61-0206,A,15720636,Female,50,Normal,628,0,1,Home and lifestyle,5,10.7275,42.91,225.2775,6.1,1
23,416-13-5917,C,15763194,Male,34,Normal,643,0,1,Food and beverages,5,24.2575,97.03,509.4075,9.3,0
24,400-89-4171,C,15659100,Male,33,Normal,605,0,0,Sports and travel,8,32.388,80.97,680.148,9.3,0
25,173-57-2300,C,15778418,Male,40,Member,637,1,1,Sports and travel,2,7.288,72.88,153.048,6.1,1
26,318-81-2368,C,15793343,Female,29,Normal,549,1,1,Electronic accessories,1,2.31,46.2,48.51,6.3,0
27,548-46-9322,B,15767488,Male,36,Normal,680,1,0,Food and beverages,10,19.95,39.9,418.95,5.9,0
28,477-24-6490,B,15661275,Male,52,Normal,532,1,0,Health and beauty,6,29.913,99.71,628.173,7.9,1
29,433-08-7822,C,15722991,Male,54,Normal,567,0,0,Health and beauty,7,27.6115,78.89,579.8415,7.5,1
30,373-88-1424,C,15592854,Male,25,Member,705,0,1,Home and lifestyle,5,8.9525,35.81,188.0025,7.9,0
31,766-85-7061,B,15787693,Male,38,Normal,559,1,0,Health and beauty,10,43.935,87.87,922.635,5.1,1
32,189-40-5216,C,15737605,Female,45,Normal,531,1,1,Electronic accessories,7,33.7295,96.37,708.3195,6.0,0
33,149-15-7606,B,15633233,Male,56,Member,500,1,0,Sports and travel,9,16.794,37.32,352.674,5.1,1
34,276-75-6884,A,15585823,Male,31,Normal,627,1,0,Health and beauty,3,10.3065,68.71,216.4365,8.7,0
35,516-77-6464,C,15723169,Female,31,Member,640,1,0,Health and beauty,5,2.54,10.16,53.34,4.1,0
36,233-67-5758,C,15606229,Male,39,Normal,771,1,0,Health and beauty,1,2.0175,40.35,42.3675,6.2,0
37,123-19-1176,A,15799350,Male,41,Member,632,0,1,Health and beauty,8,23.288,58.22,489.048,8.4,0
38,595-86-2894,C,15606267,Female,38,Member,622,1,1,Fashion accessories,4,19.396,96.98,407.316,9.4,0
39,560-30-5617,B,15627484,Female,47,Normal,686,1,0,Sports and travel,5,6.1925,24.77,130.0425,8.5,0
40,870-54-3162,A,15593973,Female,33,Normal,663,1,0,Sports and travel,5,8.0625,32.25,169.3125,9.0,0
41,744-09-5786,B,15673907,Male,20,Normal,659,0,0,Electronic accessories,6,6.603,22.01,138.663,7.6,0
42,505-02-0892,B,15585041,Male,33,Member,511,0,1,Health and beauty,8,17.028,42.57,357.588,5.6,0
43,343-75-9322,B,15664849,Male,46,Member,573,0,1,Sports and travel,8,4.74,11.85,99.54,4.1,1
44,296-11-7041,B,15694860,Female,38,Member,675,0,0,Health and beauty,1,1.3535,27.07,28.4235,5.3,1
45,842-29-4695,C,15806447,Male,32,Member,690,1,1,Sports and travel,7,5.999,17.14,125.979,7.9,0
46,600-38-9738,C,15594878,Female,41,Member,661,1,0,Sports and travel,5,17.98,71.92,377.58,4.3,1
47,420-18-8989,A,15700813,Female,25,Member,522,1,0,Sports and travel,8,20.608,51.52,432.768,9.6,0
48,273-84-2164,C,15613673,Male,28,Member,675,1,0,Electronic accessories,5,3.0125,12.05,63.2625,5.5,0
49,641-51-2661,C,15578783,Male,35,Member,620,1,1,Food and beverages,10,43.55,87.1,914.55,9.9,0
50,511-54-3087,B,15791302,Male,32,Normal,741,1,0,Sports and travel,1,4.4225,88.45,92.8725,9.5,0
51,458-41-1477,C,15729018,Female,33,Normal,666,1,1,Health and beauty,6,13.878,46.26,291.438,9.5,0
52,548-48-3156,A,15776047,Female,29,Member,620,0,1,Food and beverages,2,8.334,83.34,175.014,7.6,0
53,731-59-7531,B,15596863,Female,38,Member,787,1,1,Health and beauty,8,29.028,72.57,609.588,4.6,0
54,490-95-0021,B,15726945,Female,72,Member,677,1,1,Food and beverages,10,16.605,33.21,348.705,6.0,0
55,501-61-1753,B,15774586,Female,43,Normal,692,1,1,Home and lifestyle,6,18.945,63.15,397.845,9.8,1
56,583-41-4548,C,15626882,Male,37,Normal,662,1,1,Home and lifestyle,7,5.8345,16.67,122.5245,7.4,0
57,183-56-6882,C,15634262,Male,34,Member,709,1,1,Food and beverages,4,19.884,99.42,417.564,7.5,0
58,830-58-2383,B,15748920,Female,49,Normal,561,1,1,Home and lifestyle,4,6.35,31.75,133.35,8.6,0
59,549-23-9016,C,15736254,Male,29,Member,654,1,0,Food and beverages,2,1.487,14.87,31.227,8.9,0
60,217-58-1179,A,15780038,Male,38,Member,756,1,0,Home and lifestyle,4,12.53,62.65,263.13,4.2,1
61,760-53-9233,A,15740104,Female,22,Member,425,0,1,Fashion accessories,3,6.192,41.28,130.032,8.5,1
62,525-88-7307,B,15728352,Male,27,Member,623,0,0,Sports and travel,1,3.791,75.82,79.611,5.8,0
63,856-66-2701,A,15810347,Female,30,Member,662,0,1,Home and lifestyle,3,7.995,53.3,167.895,7.5,0
64,322-02-2271,B,15665014,Male,36,Normal,458,1,0,Sports and travel,3,6.4455,42.97,135.3555,9.3,0
65,374-17-3652,B,15658100,Female,42,Member,695,0,1,Food and beverages,9,19.269,42.82,404.649,8.9,0
66,608-04-3797,B,15804104,Male,28,Member,494,0,1,Health and beauty,8,10.128,25.32,212.688,8.7,0
67,704-20-4138,C,15611786,Female,69,Member,668,0,1,Health and beauty,7,10.3845,29.67,218.0745,8.1,0
68,588-47-8641,A,15760446,Female,64,Member,598,0,1,Fashion accessories,10,28.02,56.04,588.42,4.4,1
69,139-20-0155,B,15731267,Male,37,Member,797,1,0,Electronic accessories,10,20.15,40.3,423.15,7.0,0
70,556-97-7101,C,15789313,Female,44,Normal,595,1,0,Electronic accessories,2,6.322,63.22,132.762,8.5,1
71,242-55-6721,B,15686236,Female,47,Normal,525,1,0,Home and lifestyle,2,1.616,16.16,33.936,6.5,1
72,895-66-0685,B,15686885,Male,44,Member,777,0,1,Food and beverages,3,2.712,18.08,56.952,8.0,0
73,401-09-4232,C,15803801,Male,34,Member,454,1,0,Home and lifestyle,5,21.6725,86.69,455.1225,9.4,0
74,220-28-1851,A,15677288,Male,50,Normal,599,0,0,Home and lifestyle,2,3.473,34.73,72.933,9.7,1
75,468-88-0009,A,15806941,Male,60,Member,499,1,1,Home and lifestyle,4,13.188,65.94,276.948,6.0,0
76,261-12-8671,B,15604345,Female,22,Normal,730,1,1,Fashion accessories,2,6.096,60.96,128.016,4.9,0
77,448-81-5016,A,15592451,Male,32,Normal,565,1,0,Health and beauty,2,5.977,59.77,125.517,5.8,0
78,756-01-7507,C,15784736,Male,45,Normal,562,1,0,Health and beauty,5,5.095,20.38,106.995,6.0,0
79,729-06-2010,B,15768451,Male,40,Member,739,1,1,Health and beauty,9,36.2115,80.47,760.4415,9.2,1
80,360-39-5055,C,15668669,Female,36,Member,423,1,0,Sports and travel,5,12.2275,48.91,256.7775,6.6,1
